predictor,channel,condition,estimate,se,z,p,n_obs,n_subj,aic,bic,converged,p_fdr,sig_fdr,sig_unc
rpe_binary,FCz,all,0.0973016053975401,0.0922036931283593,1.0552896754589196,0.2912928615916791,7963,43,48263.10483601033,48284.05251928711,True,,False,False
rpe_binary,FCz,high_rew,-0.26880348013427413,0.28029291273365436,-0.9590091933209244,0.3375541138722282,1580,43,9544.722067140117,9560.81760751818,True,,False,False
rpe_binary,FCz,no_rew,0.16767533834039494,0.21925103530332304,0.7647641805131016,0.4444119807788104,4011,43,24213.41422020591,24232.30460780322,True,,False,False
rpe_binary,FCz,low_rew,0.34589398759765366,0.28905293659654646,1.1966458174422379,0.2314446341092251,2372,43,14512.890988969099,14530.205455249452,True,,False,False
rpe_binary,FCz,any_rew,0.1397278482412883,0.23060280435176503,0.6059243235747702,0.5445650067182523,3952,43,24054.904053565224,24073.749984741826,True,,False,False
rpe_binary,FCz,stay,0.19138728613380815,0.1348784890608251,1.4189607806734823,0.15591045045514446,3935,43,23914.79721255322,23933.630211035776,True,,False,False
rpe_binary,FCz,shift,0.004080012498701051,0.13472484985787694,0.0302840381934373,0.9758405264111512,3985,43,24085.534068745947,24104.40494651962,True,,False,False
rpe_binary,FCz,rew_stay,0.23964406097705468,0.20160549097037597,1.1886782439485644,0.23456630498776432,2035,43,12329.448339979263,12346.303093272893,True,,False,False
rpe_binary,FCz,rew_shift,0.004418667289380857,0.03220245997009585,0.13721520944313453,0.8908606892248366,1900,43,11588.921001242248,11605.569828737713,True,,False,False
rpe_binary,FCz,norew_stay,-0.045696776681089735,0.08164992214342265,-0.5596671188592293,0.575706514280615,1473,43,8857.306824085736,8873.191993335124,True,,False,False
rpe_binary,FCz,norew_shift,0.018563350930441477,0.16575672483324908,0.11199154030773815,0.9108301142298686,2512,43,15235.124533040336,15252.6110366231,True,,False,False
rpe_binary,Cz,all,0.009606301703408494,0.09036758637393695,0.10630251497099918,0.9153423362404279,7963,43,47921.482345979486,47942.43002925626,True,,False,False
rpe_binary,Cz,high_rew,0.12052073623659408,0.3440418522291917,0.3503083577061616,0.7261072936345465,1580,43,9188.02746693041,9204.123007308473,True,,False,False
