predictor,condition,estimate,se,z,p,n_obs,n_subj,aic,bic,converged,p_fdr,sig_fdr,sig_unc
rpe_binary,all,-0.050971122314640016,0.03459455580857063,-1.473385656306423,0.1406470757305195,7920,43,32428.281680015134,32449.21311946956,True,,False,False
rpe_binary,high_rew,-0.30149511192218664,0.15106618470356648,-1.995781600718938,0.045957700387621356,1556,43,6490.422630334708,6506.472251448923,True,,False,True
rpe_binary,no_rew,0.035691823010719305,0.015052099762197605,2.371218871426634,0.017729528588848943,3994,43,17277.476823130746,17296.354468672675,True,,True,True
rpe_binary,low_rew,-0.06106869248786399,0.029395164929032536,-2.0775080743822825,0.03775469078787514,2370,43,7540.9915478209405,7558.303483523328,True,,False,True
rpe_binary,any_rew,-0.2069586771153606,0.07306495960381174,-2.8325298232911598,0.00461812580118148,3926,43,14876.613255223689,14895.439384348198,True,,True,True
rpe_binary,stay,0.008508175352579153,0.04722076207987871,0.18017869635790104,0.857012282562335,3935,43,15659.110682712595,15677.94368119515,True,,False,False
rpe_binary,shift,-0.1140518570454911,0.05352678084633965,-2.130743811642661,0.03311025360175055,3985,43,16732.498298547325,16751.369176320997,True,,False,True
rpe_binary,rew_stay,0.11614620432485269,0.02417872020157587,4.803653930255694,1.5579601316364913e-06,2035,43,8183.584266894479,8200.439020188109,True,,True,True
rpe_binary,rew_shift,-0.07666098307457972,0.06676693735466699,-1.1481878024051846,0.2508910435805658,1900,43,7480.559989072128,7497.208816567591,True,,False,False
rpe_binary,norew_stay,-0.029957796771148792,0.0921566061486664,-0.3250748700838775,0.745124407733768,1473,43,6080.6518889584,6096.5370582077885,True,,False,False
rpe_binary,norew_shift,-0.15177771517167124,0.0665833408783596,-2.2795148631690374,0.02263647745759209,2512,43,10656.54924174878,10674.035745331545,True,,True,True
rpe_mag,all,-1.4247570713148472,0.12540350252881124,-11.361381800221343,6.510659262511542e-30,7920,43,32299.82266269435,32320.754102148778,True,,True,True
rpe_mag,high_rew,-1.8655157494199384,0.2807235943249092,-6.645382814744074,3.024299979302819e-11,1556,43,6449.590638063093,6465.6402591773085,True,,True,True
rpe_mag,no_rew,-0.6691288569856658,0.22303967129917007,-3.0000441315578446,0.0026994049204044014,3994,43,17266.885229604835,17285.762875146764,True,,True,True
rpe_mag,low_rew,-1.0004857076409055,0.16599980606223258,-6.027029376563416,1.6700065828784921e-09,2370,43,7511.536198089394,7528.848133791782,True,,True,True
rpe_mag,any_rew,-2.4325069968765405,0.15545030271750793,-15.648132903909579,3.4211010606444115e-55,3926,43,14645.53208065241,14664.35820977692,True,,True,True
rpe_mag,stay,-1.5522897480403786,0.15181768579337712,-10.224696417471643,1.5370880728060598e-24,3935,43,15578.955118649315,15597.78811713187,True,,True,True
rpe_mag,shift,-1.3501000312524083,0.16246927883447845,-8.309878894876318,9.579979213217076e-17,3985,43,16679.59474131887,16698.46561909254,True,,True,True
rpe_mag,rew_stay,-2.145112137941899,0.2663366003797319,-8.054139517000237,8.00398806022561e-16,2035,43,8130.3767004735455,8147.2314537671755,True,,True,True
rpe_mag,rew_shift,-1.2246484644568199,0.21781930141360034,-5.622313800976842,1.8841660483846404e-08,1900,43,7448.147058087314,7464.795885582777,True,,True,True
rpe_mag,norew_stay,-1.0554981775370704,0.2803677013932777,-3.764692481665357,0.00016675417554296628,1473,43,6064.417748975477,6080.302918224865,True,,True,True
rpe_mag,norew_shift,-1.5385479960412667,0.23741536827454185,-6.480406079955717,9.147608208365987e-11,2512,43,10617.534608834969,10635.021112417733,True,,True,True
abs_rpe_binary,all,-0.12008487775851867,0.05943448209646807,-2.020458049312333,0.043335897359444035,7920,43,32425.288451229208,32446.219890683635,True,,False,True
abs_rpe_binary,high_rew,-0.30149511192218664,0.15106618470356648,-1.995781600718938,0.045957700387621356,1556,43,6490.422630334708,6506.472251448923,True,,False,True
abs_rpe_binary,no_rew,-0.035691823010719305,0.015052099762197605,-2.371218871426634,0.017729528588848943,3994,43,17277.476823130746,17296.354468672675,True,,True,True
abs_rpe_binary,low_rew,-0.06106869248786399,0.029395164929032536,-2.0775080743822825,0.03775469078787514,2370,43,7540.9915478209405,7558.303483523328,True,,False,True
