Start_RT,Return_RT,Position,Trial_Type,Reward,Direction,Trial,Actual_Interval,PES_PRS_index,Condition_Direction_index,Sum_RT_interval,Earned,Vel_Cond,Vel_Dir_Index,Previous_RT,RT_DIFF,SubjectCode,TrialIndex,FCz,Cz,FC2,FC1,F4,F5,C4,C3,P4,P3,P8,P7,Pz,subject,choice,outcome_binary,outcome_mag,reward_level,reward_level_num,stay_shift,cond_dir,is_reward,rpe_binary,abs_rpe_binary,chosen_q_binary,rpe_mag,abs_rpe_mag,chosen_q_mag,best_model
5.43321,2.46667,0.26,3,2,1,1,2.39891,0,0,4.86558,0.0,2,0,0.0,,ARV_0010,1,3.279430816,3.826625043,-3.706839417,-2.821212453,-8.016465741,-24.72733589,6.321701788,-11.30687414,6.216819713,4.354948131,28.92396774,-5.123845229,2.779040097,ARV_0010,0,0.0,0.0,no_rew,0,first,first,0,-0.5,0.5,0.5,-0.5,0.5,0.5,random
2.39891,2.06743,0.24,2,1,2,2,1.93364,2,4,4.00107,0.05,3,4,5.43321,3.0343,ARV_0010,2,11.15309931,3.106318112,5.199495394,9.566220876,17.84451653,19.14605192,-2.487748682,3.306074085,-9.399591843,-14.74944259,-18.04174913,-9.437471405,-15.20586641,ARV_0010,1,1.0,0.05,low_rew,1,shift,norew_shift,1,0.5,0.5,0.5,-0.45,0.45,0.5,random
1.93364,2.06574,0.18,4,2,2,3,3.96766,1,1,6.0334,0.0,2,5,2.39891,0.46526999999999985,ARV_0010,3,6.462302153,2.640868627,6.317503818,3.184045416,-10.27029358,-4.395724546,-2.972660559,2.589369982,-2.297873405,-0.661774445,-3.708227181,4.716342151,-1.603972366,ARV_0010,1,0.0,0.0,no_rew,0,stay,rew_stay,0,-0.7763714986698098,0.7763714986698098,0.7763714986698098,-0.25993021819675,0.25993021819675,0.25993021819675,random
3.96766,2.13129,0.15,2,1,2,4,3.80151,2,3,5.9328,0.05,3,3,1.93364,-2.03402,ARV_0010,4,4.661491601,3.799138023,6.485109305,1.171397616,-0.561273632,-3.854722526,1.536719029,-0.179207133,-3.46050894,-2.283509679,1.14309571,0.912816364,-9.370625191,ARV_0010,1,1.0,0.05,low_rew,1,shift,norew_stay,1,0.6527624105539933,0.6527624105539933,0.3472375894460067,-0.0712604609377168,0.0712604609377168,0.12126046093771681,random
3.80151,3.8669,0.26,3,2,1,5,4.169,1,2,8.0359,0.0,2,6,3.96766,0.16615000000000002,ARV_0010,5,2.930800059,4.437055268,-1.378328063,-2.145197626,-11.27697379,-8.40738604,-2.494339195,-1.047493128,2.037606128,6.33422526,9.547384661,1.840870105,-0.377955569,ARV_0010,0,0.0,0.0,no_rew,0,stay,rew_shift,0,-0.22362850133019024,0.22362850133019024,0.22362850133019024,-0.2332557979963889,0.2332557979963889,0.2332557979963889,random
4.169,2.66396,0.43,1,1,1,6,4.39892,2,3,7.06288,0.05,3,3,3.80151,-0.36748999999999965,ARV_0010,6,6.406347668,0.764631841,6.868606029,0.885687454,6.120400768,3.071970494,2.090726614,1.166390276,-6.43389966,-2.795670903,-10.05089483,-1.7255482,-6.368891188,ARV_0010,0,1.0,0.05,low_rew,1,shift,norew_stay,1,0.8999805867856262,0.8999805867856262,0.1000194132143738,-0.05881653459786437,0.05881653459786437,0.10881653459786438,random
4.39892,2.53416,0.31,4,2,2,7,2.3002,1,2,4.83436,0.0,2,6,4.169,-0.2299200000000008,ARV_0010,7,4.352370327,6.042324713,1.706195852,-0.026016846,-2.70774287,-4.668665189,4.148269149,1.057889168,-0.030618689,-4.017570908,-1.577149402,-5.437688932,1.158453672,ARV_0010,1,0.0,0.0,no_rew,0,stay,rew_shift,0,-0.7080474408062563,0.7080474408062563,0.7080474408062563,-0.08324383136323527,0.08324383136323527,0.08324383136323527,random
2.3002,2.2331,0.33,4,2,2,8,3.73252,2,3,5.96562,0.0,2,3,4.39892,2.0987200000000006,ARV_0010,8,2.593764593,2.082579331,2.206761293,2.259839712,-1.765933008,3.14274553,0.477952712,3.471594601,-4.798001527,-4.547865179,1.402810551,-5.909012068,-0.617172356,ARV_0010,1,0.0,0.0,no_rew,0,shift,norew_stay,0,-0.3166791761163594,0.3166791761163594,0.3166791761163594,-0.03883421262581654,0.03883421262581654,0.03883421262581654,random
3.73252,2.66763,0.23,1,1,1,9,3.93315,2,4,6.60078,0.05,3,4,2.3002,-1.4323200000000003,ARV_0010,9,-0.212715285,1.698060637,-0.644268706,-1.256484853,1.616556229,-2.430260332,4.488460716,-11.15113482,-0.538013743,1.031442983,-0.295449436,-1.456515935,9.150242993,ARV_0010,0,1.0,0.05,low_rew,1,shift,norew_shift,1,0.40252261969826963,0.40252261969826963,0.5974773803017304,-0.027438595426014137,0.027438595426014137,0.07743859542601414,random
3.93315,2.19983,0.09,1,1,1,10,3.89933,1,1,6.09916,0.05,3,5,3.73252,-0.20062999999999986,ARV_0010,10,2.184804936,5.491848973,3.169060834,-2.181640757,-4.267168317,-11.44754884,2.174744397,-1.629011871,3.63184385,-2.33044121,2.226027191,-5.924108566,8.901494705,ARV_0010,0,1.0,0.05,low_rew,1,stay,rew_stay,1,0.18003106038925232,0.18003106038925232,0.8199689396107477,-0.01280042294398999,0.01280042294398999,0.06280042294398999,random
