subject,rpe_type,channel,r,p,z,n_trials,best_model
ARV_0010,rpe_best,FCz,,,,172,random
ARV_0010,rpe_best,Cz,,,,172,random
ARV_0010,rpe_best,FC2,,,,172,random
ARV_0010,rpe_best,FC1,,,,172,random
ARV_0010,rpe_best,F4,,,,172,random
ARV_0010,rpe_best,F5,,,,172,random
ARV_0010,rpe_best,C4,,,,172,random
ARV_0010,rpe_best,C3,,,,172,random
ARV_0010,rpe_best,P4,,,,172,random
ARV_0010,rpe_best,P3,,,,172,random
ARV_0010,rpe_best,P8,,,,172,random
ARV_0010,rpe_best,P7,,,,172,random
ARV_0010,rpe_best,Pz,,,,172,random
ARV_0010,rpe_rw,FCz,-0.08137478965312575,0.2885993093595709,-0.08155512407670186,172,random
ARV_0010,rpe_rw,Cz,0.01726286868082272,0.8221611073495381,0.01726458380397321,172,random
ARV_0010,rpe_rw,FC2,0.02940374684799947,0.7017958364135333,0.029412225213609415,172,random
ARV_0010,rpe_rw,FC1,-0.04701241623344776,0.5402698848765165,-0.04704709733707463,172,random
ARV_0010,rpe_rw,F4,0.02879747368965476,0.7076610873959649,0.02880543818173711,172,random
ARV_0010,rpe_rw,F5,0.02141023326437175,0.7804159374085134,0.021413505634448268,172,random
ARV_0010,rpe_rw,C4,0.09230021463731489,0.2284923406765486,0.09256367464004656,172,random
ARV_0010,rpe_rw,C3,0.09612222023324381,0.20971649833393152,0.09641991211157011,172,random
ARV_0010,rpe_rw,P4,-0.04353971975966194,0.570630393491634,-0.043567263949251464,172,random
ARV_0010,rpe_rw,P3,-0.04375443760879618,0.5687300620174172,-0.043782391631970424,172,random
ARV_0010,rpe_rw,P8,-0.08272235878952003,0.28066224198240003,-0.08291182670335959,172,random
ARV_0010,rpe_rw,P7,0.018340856248838196,0.8112574183904815,0.018342913205933214,172,random
ARV_0010,rpe_rw,Pz,0.0383533188514939,0.6174165423321355,0.03837214108402248,172,random
ARV_0010,abs_rpe_best,FCz,,,,172,random
ARV_0010,abs_rpe_best,Cz,,,,172,random
ARV_0010,abs_rpe_best,FC2,,,,172,random
ARV_0010,abs_rpe_best,FC1,,,,172,random
ARV_0010,abs_rpe_best,F4,,,,172,random
ARV_0010,abs_rpe_best,F5,,,,172,random
ARV_0010,abs_rpe_best,C4,,,,172,random
ARV_0010,abs_rpe_best,C3,,,,172,random
ARV_0010,abs_rpe_best,P4,,,,172,random
ARV_0010,abs_rpe_best,P3,,,,172,random
ARV_0010,abs_rpe_best,P8,,,,172,random
ARV_0010,abs_rpe_best,P7,,,,172,random
ARV_0010,abs_rpe_best,Pz,,,,172,random
ARV_0010,abs_rpe_rw,FCz,-0.06671269803357707,0.3845637829998192,-0.06681193331890198,172,random
ARV_0010,abs_rpe_rw,Cz,-0.005866496434419723,0.9391183630212822,-0.005866563735827165,172,random
ARV_0010,abs_rpe_rw,FC2,0.04511916135025729,0.556722366884578,0.0451498157428505,172,random
ARV_0010,abs_rpe_rw,FC1,0.031509219690171855,0.6815652276365372,0.03151965368230693,172,random
ARV_0010,abs_rpe_rw,F4,0.10630833317353049,0.16513986391715674,0.10671155074628398,172,random
ARV_0010,abs_rpe_rw,F5,0.034245017714004185,0.655615209367729,0.034258413761024516,172,random
ARV_0010,abs_rpe_rw,C4,-0.06557642601981857,0.39273054591772133,-0.06567066802689248,172,random
ARV_0010,abs_rpe_rw,C3,-0.005434795975158396,0.9435907869591559,-0.0054348494853094995,172,random
ARV_0010,abs_rpe_rw,P4,-0.07724359471745401,0.3138583914592867,-0.07739777356018422,172,random
ARV_0010,abs_rpe_rw,P3,-0.07853848435016417,0.30579058618658095,-0.07870056744818547,172,random
ARV_0010,abs_rpe_rw,P8,-0.07817024212322923,0.30807092325264546,-0.0783300504626679,172,random
ARV_0010,abs_rpe_rw,P7,0.03545060201882683,0.6443070509350579,0.0354654640181982,172,random
ARV_0010,abs_rpe_rw,Pz,0.027446094840967265,0.7207962816681713,0.02745298956320957,172,random
ARV_0010,rpe_rw_reward,FCz,-0.08359457269846274,0.4727938500404699,-0.08379011431860099,76,random
ARV_0010,rpe_rw_noreward,FCz,0.030104907121443637,0.770922279194943,0.03011400681717789,96,random
