condition,channel,mean_r,mean_z,t,p,n_subjects,pct_positive
all,FCz,0.010047620062758373,0.010201176257025367,0.7900892685618165,0.43391403390994765,43,58.139534883720934
all,Cz,0.0025848126874029416,0.0025856617978121206,0.22329196559334932,0.8243907822412025,43,55.81395348837209
reward,FCz,0.020443410374307264,0.021407046404469093,1.153568572295196,0.25519964561566594,43,51.162790697674424
reward,Cz,0.026872406104090214,0.027444575603002362,1.5046840777022856,0.13988906078846378,43,60.46511627906976
noreward,FCz,0.03157053456312837,0.03190067618173157,2.1801159509712758,0.03490363605510786,43,60.46511627906976
noreward,Cz,0.0012044284327172138,0.0012137110571029787,0.08954747370550101,0.9290724953828212,43,53.48837209302325
slow,FCz,0.0029352608457599337,0.003155317638521479,0.21144068035786137,0.8335660770396532,43,48.837209302325576
slow,Cz,0.015043042276073875,0.015192184952966831,1.185692460047436,0.24240874279567462,43,55.81395348837209
fast,FCz,0.01932516892593502,0.020038547095450675,0.9405892326634236,0.3527051484262764,40,55.00000000000001
fast,Cz,-0.0004398348755663223,8.047413147576482e-05,0.0034079641581614903,0.9972982162597596,40,50.0
stay,FCz,-0.002147057987254926,-0.0021574226924398927,-0.11919095556374223,0.905692362629552,43,48.837209302325576
stay,Cz,-0.02321943077913469,-0.023149572937519333,-1.258694000447811,0.2150925444961303,43,39.53488372093023
shift,FCz,0.01015456646741632,0.009955579898726027,0.6211655568446923,0.5378475657529335,43,62.7906976744186
shift,Cz,0.022160075236296144,0.02231851921067771,1.0733620749091761,0.2892371691703022,43,55.81395348837209
slow_rew,FCz,0.010263212912888186,0.009447536215130038,0.27164456066225307,0.7876402220935521,33,60.60606060606061
slow_rew,Cz,0.03661166797834462,0.03870061737554498,1.0072777701118691,0.32135763711747745,33,54.54545454545454
slow_norew,FCz,0.03157053456312837,0.03190067618173157,2.1801159509712758,0.03490363605510786,43,60.46511627906976
slow_norew,Cz,0.0012044284327172138,0.0012137110571029787,0.08954747370550101,0.9290724953828212,43,53.48837209302325
fast_rew,FCz,0.01932516892593502,0.020038547095450675,0.9405892326634236,0.3527051484262764,40,55.00000000000001
fast_rew,Cz,-0.0004398348755663223,8.047413147576482e-05,0.0034079641581614903,0.9972982162597596,40,50.0
