subject,best_model,best_bic,rw_alpha_binary,rw_beta_binary,rw_alpha_mag,n_trials,reward_rate,mean_earned
ARV_0010,random,240.76844764055113,0.5527429973396195,0.6021839196941426,0.5334884040072222,172,0.4418604651162791,0.06627906976744186
ARV_0011,wsls,163.4930476814868,0.999,0.2991233836515629,0.11307036688935006,117,0.46153846153846156,0.07435897435897437
ARV_0013,random,279.26928509756505,0.011458039972571965,1.241423370599487,0.019740492975861907,198,0.4696969696969697,0.07297979797979799
ARV_0014,wsls,244.29461710771974,0.9989991440038516,0.6492098451876507,0.8976355440527559,180,0.4666666666666667,0.08666666666666667
ARV_0015,wsls,268.452478569233,0.9989993529600649,0.40665717248681227,0.999,198,0.46464646464646464,0.08080808080808081
ARV_0016,random,242.47462843403622,0.010970999062769765,7.824333525330983,0.8516857382984795,174,0.5574712643678161,0.08879310344827587
ARV_0019,rw_bias,220.88945679997514,0.8596288656674976,2.0246332192177467,0.8651088263606538,192,0.4635416666666667,0.031510416666666666
ARV_0020,ck,278.8180403901387,0.001,0.1,0.001084599669788982,198,0.5454545454545454,0.1303030303030303
ARV_0021,wsls,234.37164449268855,0.999,1.3009452461837234,0.999,185,0.5027027027027027,0.03594594594594595
ARV_0023,random,270.6755236612563,0.001,0.1,0.04221154990356656,192,0.5104166666666666,0.04739583333333334
ARV_0024,random,255.13542020227692,0.007868038114560754,19.999866237447172,0.41682134061294596,197,0.5228426395939086,0.08096446700507616
ARV_0025,rw,264.094655669867,0.20637888642194127,2.441725723838081,0.43493461795985333,197,0.45685279187817257,0.054314720812182735
ARV_0026,rw,229.19196019513134,0.06432045481435249,5.60223977822366,0.1716786128152218,170,0.5294117647058824,0.08294117647058824
ARV_0027,random,270.7139211956268,0.006542376563512232,19.999092460598877,0.5746491727097166,194,0.4845360824742268,0.07783505154639175
ARV_0029,random,273.1925473861268,0.8752702586767326,0.7013818494967035,0.6384233684943216,198,0.5454545454545454,0.12727272727272726
ARV_0030,wsls,268.8811094229188,0.8218197287049374,0.4229340927778897,0.027482055796279426,195,0.47692307692307695,0.06589743589743591
ARV_0031,random,256.9598530656065,0.09473684527257381,0.6995083422161448,0.02951504196310524,182,0.510989010989011,0.036538461538461534
ARV_0033,random,232.232580461018,0.10522831429835906,0.2249246985964402,0.010342261537570565,164,0.5365853658536586,0.10609756097560977
ARV_0034,wsls,205.84032578980074,0.981156964818188,1.5801462847677712,0.7414960021506654,188,0.5159574468085106,0.0747340425531915
ARV_0035,rw,259.67850396813503,0.9570982330426637,1.1773080910782536,0.5294658762310304,197,0.43147208121827413,0.05507614213197969
ARV_0036,rw,249.09209378898666,0.7226497263837536,1.39744065644144,0.6796262541003729,190,0.4789473684210526,0.06710526315789474
ARV_0037,wsls,259.26906239774183,0.8975552532042463,0.8359705763278753,0.8415178577693586,198,0.5252525252525253,0.04646464646464646
ARV_0038,wsls,272.7838682240922,0.999,0.46983832772700274,0.999,198,0.494949494949495,0.03484848484848485
ARV_0039,wsls,263.53524896170495,0.9026469471293358,0.40298841491253823,0.6215263426596849,190,0.5421052631578948,0.03552631578947368
ARV_0040,wsls,251.00407434271645,0.999,0.7234903612931854,0.060982992970171554,186,0.41935483870967744,0.031720430107526884
ARV_0041,wsls,251.74448296794,0.8841739259734994,0.14748232385267576,0.04248523844419606,181,0.40331491712707185,0.03563535911602209
ARV_0042,wsls,260.0056435877661,0.999,0.3015040626834565,0.3880804930281477,188,0.5531914893617021,0.06808510638297872
ARV_0043,wsls,162.89742893887492,0.9927607465229525,2.264231377524807,0.999,194,0.5309278350515464,0.0461340206185567
ARV_0044,wsls,268.7195703830237,0.025552312140374144,1.4079525254301621,0.012647598066765528,193,0.5025906735751295,0.05
ARV_0045,random,274.20896421632483,0.0010002493022237546,4.847826631028505,0.0069346523904707785,194,0.5309278350515464,0.055412371134020616
ARV_0047,random,274.4454132058974,0.001,0.1,0.999,195,0.4666666666666667,0.08692307692307692
ARV_0048,wsls,240.04073589435342,0.7892324727688027,0.8525630863488293,0.7689845684124398,174,0.4942528735632184,0.04195402298850574
ARV_0049,wsls,241.16798191659038,0.7704182304393226,1.2008780472249174,0.9535966412513784,192,0.46875,0.033854166666666664
ARV_0050,wsls,268.11073966042215,0.05636779745247114,1.1764576833409879,0.010636577814706687,193,0.45595854922279794,0.08186528497409327
ARV_0051,wsls,246.64584578275958,0.9898617499142974,1.2157171919072796,0.999,195,0.4666666666666667,0.046923076923076935
ARV_0052,random,214.02310872682023,0.001,16.726994937532496,0.04185097381601799,151,0.543046357615894,0.04701986754966887
ARV_0053,random,279.6937369541407,0.001,0.1,0.0013449321256064565,198,0.5606060606060606,0.13308080808080808
ARV_0054,rwck,125.17111347967585,0.785740471568378,4.515502748568064,0.9109841552267356,195,0.5435897435897435,0.03948717948717949
ARV_0058,random,238.04074382666286,0.22063858187490165,1.0393550690940423,0.8240691478014344,176,0.5284090909090909,0.06505681818181817
ARV_0059,q_decay,203.29247661011664,0.999,1.6090387908041321,0.999,189,0.48148148148148145,0.07486772486772487
ARV_0060,random,266.9920627021066,0.001,19.599011759552802,0.010887036777688515,189,0.5079365079365079,0.03492063492063492
ARV_0061,rw,252.44064977724491,0.999,0.5478756558408404,0.8520389913887987,179,0.44692737430167595,0.08044692737430167
ARV_0063,wsls,174.44473720459044,0.999,0.8544418646751967,0.999,137,0.49635036496350365,0.058394160583941604
