subject,rpe_type,condition,channel,r,p,z,n_trials
ARV_0010,rpe_binary,all,FCz,-0.08137478965312575,0.2885993093595709,-0.08155512407670186,172
ARV_0010,rpe_binary,all,Cz,0.01726286868082272,0.8221611073495381,0.01726458380397321,172
ARV_0010,rpe_binary,all,FC2,0.02940374684799947,0.7017958364135333,0.029412225213609415,172
ARV_0010,rpe_binary,all,FC1,-0.04701241623344776,0.5402698848765165,-0.04704709733707463,172
ARV_0010,rpe_binary,all,F4,0.02879747368965476,0.7076610873959649,0.02880543818173711,172
ARV_0010,rpe_binary,all,F5,0.02141023326437175,0.7804159374085134,0.021413505634448268,172
ARV_0010,rpe_binary,all,C4,0.09230021463731489,0.2284923406765486,0.09256367464004656,172
ARV_0010,rpe_binary,all,C3,0.09612222023324381,0.20971649833393152,0.09641991211157011,172
ARV_0010,rpe_binary,all,P4,-0.04353971975966194,0.570630393491634,-0.043567263949251464,172
ARV_0010,rpe_binary,all,P3,-0.04375443760879618,0.5687300620174172,-0.043782391631970424,172
ARV_0010,rpe_binary,all,P8,-0.08272235878952003,0.28066224198240003,-0.08291182670335959,172
ARV_0010,rpe_binary,all,P7,0.018340856248838196,0.8112574183904815,0.018342913205933214,172
ARV_0010,rpe_binary,all,Pz,0.0383533188514939,0.6174165423321355,0.03837214108402248,172
ARV_0010,rpe_binary,high_rew,FCz,-0.22977871166477762,0.16520264196104412,-0.2339558309785116,38
ARV_0010,rpe_binary,high_rew,Cz,-0.018453250149011863,0.912438907990443,-0.01845534515899603,38
ARV_0010,rpe_binary,high_rew,FC2,-0.21080683937650596,0.2039335865547181,-0.21401555893893404,38
ARV_0010,rpe_binary,high_rew,FC1,-0.02011233321622714,0.9046010657494048,-0.02011504572739441,38
ARV_0010,rpe_binary,high_rew,F4,0.168979832480144,0.31049611460404775,0.17061632292181025,38
ARV_0010,rpe_binary,high_rew,F5,0.061821984336765,0.7123373566067983,0.06190092577983783,38
ARV_0010,rpe_binary,high_rew,C4,-0.05808793833751389,0.7290352262325727,-0.058153404533321976,38
ARV_0010,rpe_binary,high_rew,C3,0.036065398547271456,0.8297944846325117,0.03608104767268184,38
ARV_0010,rpe_binary,high_rew,P4,-0.0559937730758873,0.7384546284459241,-0.056052402549359996,38
